user_id,value_all,value_delivery,value_ของหวาน,value_ชาบู,value_ปิ้งย่าง,value_สเต็ก,value_อาหารญี่ปุ่น,value_อาหารเกาหลี,value_อาหารไทย,value_เครื่องดื่ม,clusters,clusters2
200,0,0,0,0,0,0,0,0,1,0,0,4
108,0,0,0,0,0,0,0,0,1,0,0,4
184,0,0,0,0,0,0,0,0,1,0,0,4
186,0,1,0,0,0,0,0,0,1,0,0,0
120,0,0,0,0,0,0,0,0,1,0,0,4
119,0,0,0,0,0,0,0,0,1,0,0,4
187,0,0,0,0,0,0,0,0,1,0,0,4
77,0,0,0,0,0,1,0,0,1,0,0,0
115,0,1,0,0,0,0,0,0,1,0,0,0
105,1,1,0,0,0,1,0,0,1,0,0,0
95,0,0,0,0,0,0,0,0,1,0,0,4
101,0,0,0,0,0,1,0,0,1,0,0,0
93,0,0,0,0,0,1,0,0,1,0,0,0
149,0,0,0,0,0,0,0,0,1,0,0,4
205,0,0,0,0,0,0,0,0,1,0,0,4
188,1,0,0,0,0,0,0,0,1,0,0,0
206,0,0,0,0,0,0,0,0,1,0,0,4
117,0,0,0,0,0,0,0,0,1,0,0,4
113,0,0,0,0,0,1,0,0,1,0,0,0
148,0,0,0,0,0,0,0,0,1,0,0,4
160,0,0,0,0,0,0,0,0,1,0,0,4
114,0,0,0,0,0,0,0,0,1,0,0,4
144,0,0,0,0,0,0,0,0,1,0,0,4
162,0,0,0,0,0,0,0,0,1,0,0,4
136,0,0,0,0,0,0,0,0,1,0,0,4
181,0,0,0,0,0,0,0,0,1,0,0,4
165,0,0,0,0,0,0,0,0,1,0,0,4
140,0,1,0,0,0,0,0,0,1,0,0,0
126,0,0,0,0,0,0,0,0,1,0,0,4
97,0,0,0,0,0,0,0,0,1,0,0,4
173,0,0,0,0,0,0,0,0,1,0,0,4
240,0,0,0,0,0,0,0,0,1,0,0,4
179,1,0,0,0,0,0,0,0,1,0,0,0
133,0,0,0,0,0,0,0,0,1,0,0,4
85,0,0,0,0,0,0,0,0,1,0,0,4
152,0,0,0,0,0,0,0,0,1,0,0,4
82,0,0,0,0,0,0,0,0,1,0,0,4
252,0,0,0,0,0,0,0,0,1,0,0,4
41,0,0,0,0,1,0,0,0,1,0,0,0
43,0,0,0,0,1,0,0,0,1,0,0,0
44,0,0,0,0,0,0,0,0,1,0,0,4
256,0,0,0,0,0,0,0,0,1,0,0,4
47,0,0,0,0,0,0,0,0,1,0,0,4
242,0,0,0,0,0,0,0,0,1,0,0,4
54,0,0,0,0,0,0,0,0,1,0,0,4
245,0,0,0,0,0,0,0,0,1,0,0,4
244,0,0,0,0,0,0,0,0,1,0,0,4
241,0,0,0,0,0,0,0,0,1,0,0,4
243,0,0,0,0,0,0,0,0,1,0,0,4
235,0,0,0,0,0,0,0,0,1,0,0,4
225,0,0,0,0,0,0,0,0,1,0,0,4
250,0,0,0,0,0,0,0,0,1,0,0,4
38,0,0,0,0,0,0,0,0,1,0,0,0
74,0,0,0,0,0,0,0,0,1,0,0,4
261,0,1,0,0,0,0,0,0,1,0,0,0
211,0,0,0,0,0,0,0,0,1,0,0,4
209,0,0,0,0,0,0,0,0,1,0,0,4
66,0,0,0,0,0,0,0,0,1,0,0,4
31,0,0,0,0,1,0,0,0,1,0,0,0
253,0,0,0,0,0,0,0,0,1,1,1,0
230,0,0,0,0,0,0,0,0,1,1,1,0
260,1,1,0,0,0,0,0,0,1,1,1,0
167,0,0,1,1,1,0,0,1,1,1,1,0
153,0,0,0,0,0,0,0,0,1,1,1,0
254,0,0,0,0,0,0,0,0,1,1,1,0
268,1,0,0,0,0,0,0,0,1,1,1,0
171,0,0,0,0,0,0,0,0,1,1,1,0
176,0,0,0,0,0,0,0,0,1,1,1,0
246,0,0,0,0,0,0,0,0,1,1,1,0
208,0,0,0,0,1,0,0,0,1,1,1,0
182,1,0,0,0,0,0,0,0,1,1,1,0
267,0,0,0,0,0,0,0,0,1,1,1,0
224,0,0,0,0,0,0,0,0,1,1,1,0
218,0,0,0,0,0,0,0,0,1,1,1,0
189,0,0,0,0,0,0,0,0,1,1,1,0
213,0,0,0,1,0,1,0,0,1,1,1,0
191,0,0,0,0,0,0,0,0,1,1,1,0
212,0,1,0,0,1,1,1,0,1,1,1,0
170,0,0,0,0,0,0,0,0,1,1,1,0
18,0,0,1,1,1,1,0,0,1,1,1,0
134,0,0,0,0,0,0,0,0,1,1,1,0
96,0,0,0,0,0,0,0,0,1,1,1,0
86,0,0,0,0,0,0,0,0,1,1,1,0
87,1,0,0,0,0,1,0,0,1,1,1,0
221,0,0,0,0,0,0,0,0,1,1,1,0
266,0,0,0,0,0,0,0,0,1,1,1,0
28,0,0,0,0,1,0,0,0,1,1,1,0
62,0,0,0,0,1,0,0,1,1,1,1,0
107,0,0,0,0,0,1,0,0,1,1,1,0
116,0,0,0,1,1,1,1,0,1,0,1,0
121,0,0,1,0,0,0,1,1,1,1,1,0
84,1,0,0,0,0,0,0,0,1,1,1,0
111,0,0,0,0,0,0,0,0,1,1,1,0
81,0,0,0,0,0,0,0,0,1,1,1,0
238,0,1,0,0,0,0,0,0,1,1,1,0
56,0,0,0,0,1,0,0,0,1,1,1,0
236,0,0,0,0,0,0,0,0,1,1,1,0
223,0,0,0,0,0,0,0,0,1,1,1,0
127,0,0,0,0,0,0,0,0,1,1,1,0
125,0,0,0,0,0,0,0,0,1,1,1,0
262,1,0,0,0,1,1,1,1,1,0,1,1
52,0,0,0,0,0,0,0,0,1,1,1,0
255,0,0,1,0,0,1,0,1,1,1,1,0
68,0,1,0,0,1,1,1,1,1,1,1,0
51,0,1,0,0,0,0,0,0,1,1,1,0
46,0,0,0,0,1,1,0,0,0,1,2,0
34,0,0,0,0,0,0,0,0,0,1,2,3
251,1,0,0,0,0,0,0,0,0,0,2,0
58,0,0,0,0,1,0,0,0,0,0,2,2
142,0,1,0,0,0,0,0,0,0,0,2,0
17,0,0,0,0,0,0,0,0,0,1,2,0
29,0,0,0,0,1,0,0,0,0,0,2,2
21,0,0,0,0,0,0,0,0,0,1,2,0
39,0,1,0,1,0,1,0,0,0,1,2,0
20,0,0,0,0,0,0,0,0,0,1,2,0
19,1,1,0,0,0,0,0,0,0,0,2,0
258,0,0,0,0,0,0,0,0,0,1,2,3
37,0,0,0,0,0,0,0,0,0,1,2,0
32,0,1,0,0,1,0,0,0,0,1,2,0
65,0,0,0,0,1,0,0,0,0,0,2,2
78,0,0,0,0,1,0,0,0,0,0,2,2
231,0,1,0,0,0,0,0,0,0,0,2,0
158,0,0,0,0,0,0,0,0,0,1,2,3
23,0,0,0,0,0,0,0,0,0,1,2,3
226,0,0,0,0,0,0,0,0,0,1,2,3
112,0,0,0,0,0,1,0,0,0,0,2,0
104,0,1,0,0,0,0,0,0,0,0,2,0
98,0,1,0,0,0,1,0,0,0,1,2,0
91,0,1,0,0,0,0,0,0,0,0,2,0
67,0,0,0,0,1,0,0,0,0,0,2,2
193,0,0,0,0,1,0,0,0,0,0,2,2
198,0,0,0,0,0,0,0,0,0,1,2,3
76,0,1,0,0,0,0,0,0,0,0,2,0
75,0,0,0,0,1,0,0,0,0,0,2,2
216,0,0,0,0,0,0,0,0,0,1,2,3
219,0,0,0,0,1,0,0,1,0,1,2,0
73,0,1,0,0,0,0,0,0,0,0,2,0
70,0,0,0,0,1,0,0,0,0,1,2,0
196,1,0,0,0,0,0,0,0,0,0,2,0
57,0,0,0,0,0,0,0,0,0,1,2,3
