userid,amount_of_order,value_Bronze,value_Silver,days_disappear,clustering
54,21,0,1,13,1
255,19,0,1,2,1
46,15,0,1,4,1
142,14,0,1,10,1
223,12,0,1,2,1
224,12,0,1,5,1
52,11,0,1,4,1
89,10,1,0,5,1
134,9,1,0,40,0
96,8,1,0,5,1
258,7,1,0,13,1
1,7,1,0,44,0
7,7,1,0,45,0
246,6,1,0,2,1
187,5,1,0,9,1
18,5,1,0,63,2
95,5,1,0,37,0
250,5,1,0,36,0
90,4,1,0,2,1
81,4,1,0,11,1
74,4,1,0,49,0
97,4,1,0,8,1
254,4,1,0,17,1
68,4,1,0,4,1
84,3,1,0,11,1
163,3,1,0,40,0
105,3,1,0,11,1
57,3,1,0,19,1
58,3,1,0,5,1
267,3,1,0,13,1
56,3,1,0,43,0
286,3,1,0,3,1
238,3,1,0,32,0
233,3,1,0,12,1
221,3,1,0,11,1
266,2,1,0,17,1
189,2,1,0,34,0
271,2,1,0,9,1
63,2,1,0,71,2
234,2,1,0,34,0
127,2,1,0,39,0
88,2,1,0,11,1
236,2,1,0,10,1
245,2,1,0,41,0
218,2,1,0,18,1
4,1,1,0,44,0
5,1,1,0,2,1
37,1,1,0,76,2
85,1,1,0,68,2
79,1,1,0,19,1
76,1,1,0,75,2
73,1,1,0,75,2
71,1,1,0,75,2
53,1,1,0,78,2
23,1,1,0,67,2
66,1,1,0,32,0
288,1,1,0,4,1
94,1,1,0,68,2
101,1,1,0,72,2
282,1,1,0,5,1
279,1,1,0,8,1
276,1,1,0,11,1
270,1,1,0,13,1
268,1,1,0,18,1
264,1,1,0,23,1
251,1,1,0,39,0
242,1,1,0,32,0
232,1,1,0,48,0
229,1,1,0,50,0
225,1,1,0,51,0
220,1,1,0,53,0
215,1,1,0,54,2
211,1,1,0,50,0
210,1,1,0,55,2
193,1,1,0,58,2
188,1,1,0,58,2
186,1,1,0,58,2
182,1,1,0,58,2
179,1,1,0,54,2
287,1,1,0,4,1
148,1,1,0,64,2
143,1,1,0,65,2
136,1,1,0,64,2
128,1,1,0,67,2
171,1,1,0,59,2
